1,abundantly,Adverb,|||
2,accidentally,Adverb,|||
3,actually,Adverb,|||
4,again,Adverb,|||
5,a little,Adverb,|||
6,almost,Adverb,|||
7,alone,Adverb,|||
8,a lot,Adverb,|||
9,already,Adverb,|||
10,also,Adverb,|||
11,always,Adverb,|||
12,angrily,Adverb,|||
13,backward,Adverb,|||
14,badly,Adverb,|badlier|badliest|
15,bitterly,Adverb,|||
16,boldly,Adverb,|||
17,bravely,Adverb,|||
18,brightly,Adverb,|brightly  more|brightly  most|
19,carefully,Adverb,|carefully  more|carefully  most|
20,carelessly,Adverb,|||
21,clearly,Adverb,|||
22,completely,Adverb,|completely  more|completely  most|
23,confidently,Adverb,|||
24,continuously,Adverb,|||
25,correctly,Adverb,|correctly  more|correctly  most|
26,cruelly,Adverb,|cruelly  more|cruelly  most|
27,dearly,Adverb,|||
28,deeply,Adverb,|||
29,differently,Adverb,|||
30,eagerly,Adverb,|||
31,earlier,Adverb,|||
32,early,Adverb,|earlier|earliest|
33,earnestly,Adverb,|earnestly  more|earnestly  most|
34,easily,Adverb,|easily  more|easily  most|
35,emphatically,Adverb,|||
36,eternally,Adverb,|||
37,even,Adverb,|||
38,eventually,Adverb,|||
39,fairly,Adverb,|fairly  more|fairly  most|
40,faithfully,Adverb,|||
41,far,Adverb,|||
42,fiercely,Adverb,|fiercely  more|fiercely  most|
43,finally,Adverb,|||
44,first,Adverb,|||
45,foolishly,Adverb,|||
46,forever,Adverb,|||
47,freely,Adverb,|||
48,generously,Adverb,|||
49,gently,Adverb,|gently  more|gently  most|
50,gladly,Adverb,|||
51,gloriously,Adverb,|||
52,graciously,Adverb,|||
53,greatly,Adverb,|greater|greatest|
54,habitually,Adverb,|||
55,happily,Adverb,|||
56,hard,Adverb,|harder|hardest|
57,harshly,Adverb,|||
58,highly,Adverb,|||
59,honestly,Adverb,|||
60,how,Adverb,|||
61,how long,Adverb,|||
62,immediately,Adverb,|||
63,immorally,Adverb,|||
64,intensely,Adverb,|||
65,intently,Adverb,|||
66,joyfully,Adverb,|||
67,justly,Adverb,|||
68,kindly,Adverb,|kindly  more|kindly  most|
69,last,Adverb,|||
70,later,Adverb,|laterer|laterest|
71,less,Adverb,|||
72,long,Adverb,|||
73,loudly,Adverb,|loudly  more|loudly  most|
74,more,Adverb,|||
75,much,Adverb,|||
76,never,Adverb,|||
77,no longer,Adverb,|||
78,now,Adverb,|||
79,often,Adverb,|often  more|often  most|
80,partly,Adverb,|||
81,patiently,Adverb,|||
82,peacefully,Adverb,|peacefully  more|peacefully  most|
83,perfectly,Adverb,|||
84,perhaps,Adverb,|||
85,powerfully,Adverb,|powerfully  more|powerfully  most|
86,previously,Adverb,|||
87,proudly,Adverb,|||
88,publicly,Adverb,|||
89,quickly,Adverb,|quickly  more|quickly  most|
90,quietly,Adverb,|quietly  more|quietly  most|
91,really,Adverb,|||
92,recently,Adverb,|recently  more|recently  most|
93,regularly,Adverb,|regularly  more|regularly  most|
94,religiously,Adverb,|||
95,repeatedly,Adverb,|||
96,respectfully,Adverb,|respectfully  more|respectfully  most|
97,safely,Adverb,|safely  more|safely  most|
98,secretly,Adverb,|||
99,securely,Adverb,|securely  more|securely  most|
100,sensibly,Adverb,|||
101,severely,Adverb,|severely  more|severely  most|
102,similarly,Adverb,|||
103,sincerely,Adverb,|sincerely  more|sincerely  most|
104,skillfully,Adverb,|skillfully  more|skillfully  most|
105,slowly,Adverb,|slowly  more|slowly  most|
106,sometimes,Adverb,|||
107,soon,Adverb,|||
108,sternly,Adverb,|||
109,still,Adverb,|||
110,still,Adverb,|||
111,straight,Adverb,|straighter|straightest|
112,stupidly,Adverb,|||
113,successfully,Adverb,|successfully  more|successfully  most|
114,suddenly,Adverb,|||
115,temporarily,Adverb,|||
116,the most,Adverb,|||
117,thoroughly,Adverb,|thoroughly  more|thoroughly  most|
118,tightly,Adverb,|||
119,today,Adverb,|||
120,tomorrow,Adverb,|||
121,tonight,Adverb,|||
122,truly,Adverb,|||
123,urgently,Adverb,|urgently  more|urgently  most|
124,usually,Adverb,|||
125,viciously,Adverb,|||
126,violently,Adverb,|violently  more|violently  most|
127,well,Adverb,|better|best|
128,when,Adverb,|||
129,where,Adverb,|||
130,wholeheartedly,Adverb,|||
131,why,Adverb,|||
132,wickedly,Adverb,|||
133,willingly,Adverb,|||
134,wisely,Adverb,|wisely  more|wisely  most|
135,yesterday,Adverb,|||
136,yet,Adverb,|||
